fips,State,Area_Name,CENSUS_2010_POP,POP_ESTIMATE_2019,
00000,US,United States,"308,745,538","328,239,523",
01000,AL,Alabama,"4,779,736","4,903,185",
01001,AL,Autauga County,"54,571","55,869",
01003,AL,Baldwin County,"182,265","223,234",
01005,AL,Barbour County,"27,457","24,686",
01007,AL,Bibb County,"22,915","22,394",
01009,AL,Blount County,"57,322","57,826",
01011,AL,Bullock County,"10,914","10,101",
01013,AL,Butler County,"20,947","19,448",
01015,AL,Calhoun County,"118,572","113,605",
01017,AL,Chambers County,"34,215","33,254",
01019,AL,Cherokee County,"25,989","26,196",
01021,AL,Chilton County,"43,643","44,428",
01023,AL,Choctaw County,"13,859","12,589",
01025,AL,Clarke County,"25,833","23,622",
01027,AL,Clay County,"13,932","13,235",
01029,AL,Cleburne County,"14,972","14,910",
01031,AL,Coffee County,"49,948","52,342",
01033,AL,Colbert County,"54,428","55,241",
01035,AL,Conecuh County,"13,228","12,067",
01037,AL,Coosa County,"11,539","10,663",
01039,AL,Covington County,"37,765","37,049",
01041,AL,Crenshaw County,"13,906","13,772",
01043,AL,Cullman County,"80,406","83,768",
01045,AL,Dale County,"50,251","49,172",
01047,AL,Dallas County,"43,820","37,196",
01049,AL,DeKalb County,"71,109","71,513",
01051,AL,Elmore County,"79,303","81,209",
01053,AL,Escambia County,"38,319","36,633",
01055,AL,Etowah County,"104,430","102,268",
01057,AL,Fayette County,"17,241","16,302",
01059,AL,Franklin County,"31,704","31,362",
01061,AL,Geneva County,"26,790","26,271",
01063,AL,Greene County,"9,045","8,111",
01065,AL,Hale County,"15,760","14,651",
01067,AL,Henry County,"17,302","17,205",
01069,AL,Houston County,"101,547","105,882",
01071,AL,Jackson County,"53,227","51,626",
01073,AL,Jefferson County,"658,466","658,573",
01075,AL,Lamar County,"14,564","13,805",
01077,AL,Lauderdale County,"92,709","92,729",
01079,AL,Lawrence County,"34,339","32,924",
01081,AL,Lee County,"140,247","164,542",
01083,AL,Limestone County,"82,782","98,915",
01085,AL,Lowndes County,"11,299","9,726",
01087,AL,Macon County,"21,452","18,068",
01089,AL,Madison County,"334,811","372,909",
01091,AL,Marengo County,"21,027","18,863",
01093,AL,Marion County,"30,776","29,709",
01095,AL,Marshall County,"93,019","96,774",
01097,AL,Mobile County,"412,992","413,210",
01099,AL,Monroe County,"23,068","20,733",
01101,AL,Montgomery County,"229,363","226,486",
01103,AL,Morgan County,"119,490","119,679",
01105,AL,Perry County,"10,591","8,923",
01107,AL,Pickens County,"19,746","19,930",
01109,AL,Pike County,"32,899","33,114",
01111,AL,Randolph County,"22,913","22,722",
01113,AL,Russell County,"52,947","57,961",
01115,AL,St. Clair County,"83,593","89,512",
01117,AL,Shelby County,"195,085","217,702",
01119,AL,Sumter County,"13,763","12,427",
01121,AL,Talladega County,"82,291","79,978",
01123,AL,Tallapoosa County,"41,616","40,367",
01125,AL,Tuscaloosa County,"194,656","209,355",
01127,AL,Walker County,"67,023","63,521",
01129,AL,Washington County,"17,581","16,326",
01131,AL,Wilcox County,"11,670","10,373",
01133,AL,Winston County,"24,484","23,629",
02000,AK,Alaska,"710,231","731,545",
02013,AK,Aleutians East Borough,"3,141","3,337",
02016,AK,Aleutians West Census Area,"5,561","5,634",
02020,AK,Anchorage Municipality,"291,826","288,000",
02050,AK,Bethel Census Area,"17,013","18,386",
02060,AK,Bristol Bay Borough,997,836,
02068,AK,Denali Borough,"1,826","2,097",
02070,AK,Dillingham Census Area,"4,847","4,916",
02090,AK,Fairbanks North Star Borough,"97,581","96,849",
02100,AK,Haines Borough,"2,508","2,530",
02105,AK,Hoonah-Angoon Census Area,"2,150","2,148",
02110,AK,Juneau City and Borough,"31,275","31,974",
02122,AK,Kenai Peninsula Borough,"55,400","58,708",
02130,AK,Ketchikan Gateway Borough,"13,477","13,901",
02150,AK,Kodiak Island Borough,"13,592","12,998",
02158,AK,Kusilvak Census Area,"7,459","8,314",
02164,AK,Lake and Peninsula Borough,"1,631","1,592",
02170,AK,Matanuska-Susitna Borough,"88,995","108,317",
02180,AK,Nome Census Area,"9,492","10,004",
02185,AK,North Slope Borough,"9,430","9,832",
02188,AK,Northwest Arctic Borough,"7,523","7,621",
02195,AK,Petersburg Borough,"3,815","3,266",
02198,AK,Prince of Wales-Hyder Census Area,"5,559","6,203",
02220,AK,Sitka City and Borough,"8,881","8,493",
02230,AK,Skagway Municipality,968,"1,183",
02240,AK,Southeast Fairbanks Census Area,"7,029","6,893",
02261,AK,Valdez-Cordova Census Area,"9,636","9,202",
02275,AK,Wrangell City and Borough,"2,369","2,502",
